Date,Close,Return
2022-01-04,152.6753387451172,0.014199170110181347
2022-01-05,155.64353942871094,0.019441258214917045
2022-01-06,154.46743774414062,-0.007556379717958084
2022-01-07,155.43817138671875,0.006284390139144058
2022-01-10,151.58326721191406,-0.024800241410547486
2022-01-11,153.2446746826172,0.010960361926890538
2022-01-12,156.54891967773438,0.02156189115191487
2022-01-13,154.56080627441406,-0.012699630297117181
2022-01-14,155.25149536132812,0.004468720780918867
2022-01-18,152.98336791992188,-0.01460937581391708
2022-01-19,152.79664611816406,-0.0012205366132058693
2022-01-20,150.02447509765625,-0.018142878727612777
2022-01-21,140.79324340820312,-0.061531504665783276
2022-01-24,142.07196044921875,0.009082232996850736
2022-01-25,141.42794799804688,-0.004533001791032998
2022-01-26,139.13177490234375,-0.01623563891158797
2022-01-27,140.5692138671875,0.010331493045730777
2022-01-28,141.49325561523438,0.006573571286526025
2022-01-31,142.6973419189453,0.008509849451660223
2022-02-01,147.90570068359375,0.03649933975369257
2022-02-02,149.3898162841797,0.010034201479230509
2022-02-03,149.10975646972656,-0.0018746914710731089
2022-02-04,145.7401885986328,-0.02259790338922496
2022-02-07,143.7800750732422,-0.01344936866239932
2022-02-08,148.41905212402344,0.03226439441221696
2022-02-09,152.28329467773438,0.02603602770944713
2022-02-10,150.15516662597656,-0.013974796488750885
2022-02-11,150.15516662597656,0.0
2022-02-14,151.06991577148438,0.006092025776151866
2022-02-15,155.5968475341797,0.02996580582955355
2022-02-16,156.99693298339844,0.008998160768721286
2022-02-17,162.16799926757812,0.03293737136079278
2022-02-18,163.29737854003906,0.006964254831789862
2022-02-22,163.01731872558594,-0.001715029457037276
2022-02-23,161.16920471191406,-0.011336918237398352
2022-02-24,161.45855712890625,0.00179533315628988
2022-02-25,171.20321655273438,0.06035393600134875
2022-02-28,178.15699768066406,0.04061711729456774
2022-03-01,174.7127685546875,-0.019332550339392962
2022-03-02,176.6075897216797,0.01084535024352884
2022-03-03,177.3729705810547,0.004333793698114485
2022-03-04,176.2808837890625,-0.006157007961329342
2022-03-07,172.38864135742188,-0.02207977602550526
2022-03-08,169.88711547851562,-0.014510966959358496
2022-03-09,176.42088317871094,0.038459465756375044
2022-03-10,176.5474853515625,0.0007176144375340421
2022-03-11,176.50997924804688,-0.00021244201491144032
2022-03-14,175.98484802246094,-0.00297507952707865
2022-03-15,178.20724487304688,0.012628342016707483
2022-03-16,177.6727752685547,-0.0029991463302905252
2022-03-17,179.13565063476562,0.008233536983929035
2022-03-18,179.57638549804688,0.0024603414324257944
2022-03-21,182.58648681640625,0.016762233575483787
2022-03-22,183.12098693847656,0.002927380505479471
2022-03-23,182.23953247070312,-0.0048135087218025285
2022-03-24,183.13040161132807,0.004888451635860935
2022-03-25,182.79281616210935,-0.0018434156549015368
2022-03-28,179.0605926513672,-0.020417780026060983
2022-03-29,173.71551513671875,-0.029850663596625915
2022-03-30,173.1810302734375,-0.003076782536439504
2022-03-31,171.9337921142578,-0.007201932897676011
2022-04-01,173.26539611816406,0.007744864971170662
2022-04-04,170.8554229736328,-0.01390914284400846
2022-04-05,167.85467529296875,-0.01756308127911843
2022-04-06,167.6952362060547,-0.0009498638428496742
2022-04-07,167.33889770507812,-0.002124917254886838
2022-04-08,168.19229125976562,0.005099791897706485
2022-04-11,171.6431121826172,0.02051711702721204
2022-04-12,172.88095092773438,0.007211700658283471
2022-04-13,177.39144897460938,0.02609019688213321
2022-04-14,182.16452026367188,0.026906997584453363
2022-04-18,182.42709350585935,0.0014414071511148485
2022-04-19,186.14987182617188,0.020406937636119116
2022-04-20,188.13790893554688,0.010679766200599072
2022-04-21,184.94960021972656,-0.016946657554871458
2022-04-22,180.6453857421875,-0.023272364322093675
2022-04-25,178.52609252929688,-0.011731787137454042
2022-04-26,175.1221160888672,-0.01906710885900942
2022-04-27,177.45709228515625,0.013333416980320978
2022-04-28,186.73129272460935,0.05226164995733362
2022-04-29,185.90606689453125,-0.004419322642912005
2022-05-02,185.5028839111328,-0.0021687457011673184
2022-05-03,191.8794403076172,0.034374432688276446
2022-05-04,198.26541137695312,0.03328116373019485
2022-05-05,185.24969482421875,-0.06564794364453297
2022-05-06,184.90269470214844,-0.0018731481441822684
2022-05-09,180.96421813964844,-0.021300265898473336
2022-05-10,178.10411071777344,-0.015804822916251182
2022-05-11,175.83480834960938,-0.01274143734818134
2022-05-12,175.5909881591797,-0.0013866434792870752
2022-05-13,174.87832641601562,-0.004058646463780957
2022-05-16,173.9593505859375,-0.005254944102632719
2022-05-17,179.92332458496094,0.03428372190937323
2022-05-18,171.05233764648438,-0.04930426312952896
2022-05-19,167.6483612060547,-0.019900204155436474
2022-05-20,167.34832763671875,-0.0017896600192063294
2022-05-23,168.84869384765625,0.008965528560252567
2022-05-24,167.80775451660156,-0.006164923798545163
2022-05-25,175.26278686523438,0.04442603007297419
2022-05-26,187.60958862304688,0.07044736637279647
2022-05-27,193.1117706298828,0.029327829388780202
2022-05-31,183.1532745361328,-0.05156856084571049
2022-06-01,184.0859832763672,0.005092503765475209
2022-06-02,185.6216735839844,0.008342244641797114
2022-06-03,182.3053436279297,-0.017866070766538233
2022-06-06,185.0752410888672,0.01519372611803771
2022-06-07,189.00396728515625,0.021227724319984098
2022-06-08,183.19094848632807,-0.030756067622950467
2022-06-09,177.26483154296875,-0.03234939822259608
2022-06-10,176.0023651123047,-0.007121922716847751
2022-06-13,168.38043212890625,-0.043305855455607056
2022-06-14,165.6764678955078,-0.016058660731600782
2022-06-15,169.36964416503906,0.022291495687006835
2022-06-16,157.65875244140625,-0.06914398256762799
2022-06-17,160.2591094970703,0.016493578792147856
2022-06-21,160.58885192871094,0.0020575581174475666
2022-06-22,156.424560546875,-0.02593138522270877
2022-06-23,154.01266479492188,-0.015418907002333282
2022-06-24,162.79347229003906,0.05701354175521489
2022-06-27,163.87693786621094,0.006655460817504677
2022-06-28,162.85003662109375,-0.006266295053398818
2022-06-29,160.99395751953125,-0.011397474265732455
2022-06-30,160.03297424316406,-0.005969064250443079
2022-07-01,161.17295837402344,0.00712343275659677
2022-07-05,159.91995239257812,-0.007774294112896651
2022-07-06,159.82569885253906,-0.0005893794903570893
2022-07-07,164.2349853515625,0.02758809459729994
2022-07-08,162.586181640625,-0.010039296483681959
2022-07-11,163.2174530029297,0.0038826876671476107
2022-07-12,163.10438537597656,-0.000692742258091128
2022-07-13,165.44090270996094,0.014325288241627598
2022-07-14,164.5835418701172,-0.005182278540554197
2022-07-15,166.2511444091797,0.010132255753606989
2022-07-18,165.19593811035156,-0.006347061865818127
2022-07-19,170.03855895996094,0.02931440630443638
2022-07-20,169.21890258789062,-0.004820414717013222
2022-07-21,173.0440216064453,0.02260456107477693
2022-07-22,170.27410888671875,-0.016006983044038248
2022-07-25,174.4855194091797,0.02473312325635324
2022-07-26,173.5150909423828,-0.0055616561768725425
2022-07-27,175.91757202148438,0.013845948880027548
2022-07-28,175.55014038085938,-0.0020886579800005745
2022-07-29,179.2433624267578,0.021037989704171922
2022-08-01,180.11012268066406,0.004835661651127587
2022-08-02,175.6537628173828,-0.02474241756629303
